"NOMPSN";"PREPSN";"DATNAIPSN";"SEXPSN";"CODPRO";"CODE_NUA";"EFFECTIF_LEGAL";"CODDPT";"CODCOM";"CODSECT";"SORTANT";"CODE_NUANCE_DE_LISTE";"CODE_PERSONNALITE";"TOUR_ELECTION"
"DURAND";"Guillaume";"1986-11-30";"M";"35";"VEC";33;"75";"75056";"75056SR14";"OUI";"LUG";;"élu T2"
"BLUM";"Michèle";"1953-06-02";"F";"75";"PLP";33;"75";"75056";"75056SR14";;"LUG";;"élu T2"
"GATEL";"Maud";"1979-04-06";"F";"37";"MDM";33;"75";"75056";"75056SR14";;"LUD";;"élu T2"
"VIRY";"Patrick";"1976-07-04";"M";"33";"LR";33;"75";"75056";"75056SR14";"OUI";"LUD";;"élu T2"
"CARRERE-GEE";"Marie-Claire";"1963-03-23";"F";"33";"LR";33;"75";"75056";"75056SR14";"OUI";"LUD";"SEN";"élu T2"
"MANSIER";"Nicolas";"1970-12-22";"M";"38";"DVC";33;"75";"75056";"75056SR14";;"LUD";;"élu T2"
"LEBEAU-LIVÉ";"Audrey";"1977-11-17";"F";"33";"DVD";33;"75";"75056";"75056SR14";;"LUD";;"élu T2"
"ALEXANDRE";"Jean-François";"1978-08-31";"M";"38";"LR";33;"75";"75056";"75056SR14";"OUI";"LUD";;"élu T2"
"ARENAS";"Rodrigo";"1974-04-24";"M";"33";"FI";33;"75";"75056";"75056SR14";;"LFI";"DEP";"élu T2"
"KAMIONKA";"Julie";"1997-07-12";"F";"33";"FI";33;"75";"75056";"75056SR14";;"LFI";;"élu T2"
"GOUJON";"Philippe";"1954-04-30";"M";"74";"LR";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"EVREN";"Agnès";"1970-12-27";"F";"33";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";"SEN";"élu T2"
"CANAL";"Grégory";"1975-12-04";"M";"33";"DVD";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"IBLED";"Catherine";"1975-05-25";"F";"31";"REN";55;"75";"75056";"75056SR15";"OUI";"LUD";"DEP";"élu T2"
"COURTOIS";"Daniel-Georges";"1956-08-29";"M";"74";"HOR";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"RUISSEAU";"Isabelle";"1975-03-12";"F";"31";"MDM";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"LEFEVRE";"Franck";"1964-09-28";"M";"38";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"TYSSANDIER";"Anne-Claire";"1981-09-29";"F";"33";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"LORIAU";"Jérôme";"1971-04-04";"M";"34";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"DE RAGUENEL";"Inès";"1987-09-25";"F";"31";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"RACAPÉ";"Laurent";"1981-11-13";"M";"37";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"DOUCERÉ";"Marie-Caroline";"1978-08-21";"F";"31";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"SAMAMA";"Anthony";"1991-04-11";"M";"23";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"FERHAT";"Louisa";"1952-09-13";"F";"35";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"SEMELLE";"Jacques-Henri";"1982-09-03";"M";"31";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"CEYRAC";"Sylvie";"1949-09-19";"F";"74";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"LATINNE";"Louis";"1994-10-25";"M";"46";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"ROLGEN";"Chantal";"1950-01-04";"F";"42";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"VIGIER";"Raphaël";"1993-02-04";"M";"33";"MDM";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"ORAKCI";"Ozlem";"1990-02-04";"F";"37";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"LUINAUD";"Mathieu";"1990-11-10";"M";"37";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"GIOVANNUCCI";"Valérie";"1965-06-09";"F";"72";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"PINET";"Jean-Yves";"1968-12-02";"M";"37";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"DESROUSSEAUX";"Charlotte";"1975-01-01";"F";"35";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"MENUET";"Pierre";"1994-09-17";"M";"37";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"FOUCHÉ";"Ségolène";"1994-08-03";"F";"31";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"ROUFFIAC";"Valentin";"1999-05-24";"M";"33";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"GERMONT";"Alexia";"1970-12-04";"F";"31";"HOR";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"PIERRE";"Jean-Philippe";"1962-08-20";"M";"33";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"LESENS";"Isabelle";"1952-11-19";"F";"74";"DVD";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"MORIN-MARTIN";"Grégory";"1992-07-17";"M";"33";"LR";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"BESNIER";"Selda";"1959-01-16";"F";"31";"DVD";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"KOCH";"Pierre-André";"1964-01-08";"M";"37";"LR";55;"75";"75056";"75056SR15";"OUI";"LUD";;"élu T2"
"CHARLES-LAVAUZELLE";"Inès";"1983-11-21";"F";"37";"DVD";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"VINCENT";"Rodolphe";"1976-09-12";"M";"37";"DVD";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"NKANA";"Gilberte";"1987-01-12";"F";"37";"MDM";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"JOZEFOWICZ";"Henri";"1977-08-08";"M";"37";"DVC";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"STOJANOVIC";"Ivana";"1990-04-25";"F";"37";"LR";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"TREGUER";"Rémi";"1964-03-27";"M";"74";"LR";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"LUBIN-NOËL";"Isabelle";"1980-02-06";"F";"46";"DVC";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"SILVER";"Guilad";"1997-01-25";"M";"37";"LR";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"ROCHER";"Charlotte";"1995-06-03";"F";"33";"DVD";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"KUNSTLINGER";"Hugo";"1995-10-08";"M";"33";"REN";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"DESMETTRE";"Laurence";"1966-07-13";"F";"33";"DVD";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"BARKI";"Jean-Marc";"1964-12-16";"M";"23";"LR";55;"75";"75056";"75056SR15";;"LUD";;"élu T2"
"TORANIAN";"Anouch";"1991-09-22";"F";"37";"SOC";55;"75";"75056";"75056SR15";"OUI";"LUG";;"élu T2"
"LEHOUX";"Arnaud";"1993-10-31";"M";"37";"VEC";55;"75";"75056";"75056SR15";;"LUG";;"élu T2"
"NIAKATÉ";"Aminata";"1980-11-07";"F";"31";"VEC";55;"75";"75056";"75056SR15";"OUI";"LUG";;"élu T2"
"SITBON";"Florian";"1976-05-16";"M";"35";"SOC";55;"75";"75056";"75056SR15";"OUI";"LUG";;"élu T2"
"BRUHAT";"Elise";"1993-12-29";"F";"38";"VEC";55;"75";"75056";"75056SR15";;"LUG";;"élu T2"
"BOISSONNAT";"Guillaume";"1989-06-24";"M";"38";"SOC";55;"75";"75056";"75056SR15";"OUI";"LUG";;"élu T2"
"ROY";"Isabelle";"1970-05-24";"F";"37";"SOC";55;"75";"75056";"75056SR15";"OUI";"LUG";;"élu T2"
"COSTAGLIOLA";"Jonas";"1992-03-28";"M";"33";"COM";55;"75";"75056";"75056SR15";;"LUG";;"élu T2"
"MONTARELLO RODRIGUES";"Eva";"2001-03-07";"F";"84";"PLP";55;"75";"75056";"75056SR15";;"LUG";;"élu T2"
"SALETTES";"Arnaud";"1992-12-11";"M";"37";"VEC";55;"75";"75056";"75056SR15";;"LUG";;"élu T2"
"BOULARD";"Geoffroy";"1978-12-03";"M";"37";"LR";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"BOUGERET";"Alix";"1978-04-13";"F";"22";"LR";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"PECHENARD";"Frederic";"1957-03-12";"M";"33";"LR";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"DUMAS";"Catherine";"1957-07-13";"F";"86";"LR";39;"75";"75056";"75056SR17";"OUI";"LUD";"SEN";"élu T2"
"BERTHAULT";"Jean-Didier";"1971-10-15";"M";"37";"DVC";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"DE LA MORANDIÈRE";"Athenaïs";"1976-02-21";"F";"43";"DVC";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"HATTE";"Paul";"1993-09-05";"M";"31";"DVD";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"FERNANDES";"Lourdes";"1965-12-23";"F";"52";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"LEDRAN";"Christophe";"1966-10-03";"M";"37";"LR";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"SERFATI";"Jamila";"1976-01-05";"F";"31";"DVD";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"PERIFAN";"Atanase";"1964-08-19";"M";"43";"LR";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"HAZARABEDIAN";"Sonia";"1971-01-22";"F";"37";"DVD";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"CHARPENTIER";"Hugues";"1981-01-29";"M";"37";"DVD";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"DELOBELLE";"Anne-Charlotte";"1976-08-04";"F";"31";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"DE LIVONNIÈRE";"Scévole";"1981-08-05";"M";"37";"LR";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"DERHY";"Sarah";"1993-03-25";"F";"37";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"BOURRIAUD";"Pierre";"1959-07-12";"M";"33";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"JACQUEMONT";"Hélène";"1968-04-11";"F";"74";"DVD";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"TERRIOUX";"Michel";"1949-04-25";"M";"33";"LR";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"TOURY";"Agnès";"1975-03-09";"F";"37";"DVD";39;"75";"75056";"75056SR17";"OUI";"LUD";;"élu T2"
"HALL";"Adrien";"1993-07-09";"M";"31";"LR";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"RIMMER";"Vanessa";"1971-05-25";"F";"31";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"MERVILLE";"Augustin";"2006-07-28";"M";"84";"LR";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"DE VOS";"Barbara";"1985-07-28";"F";"37";"MDM";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"LUCE";"Jean-Philippe";"1984-03-17";"M";"37";"UDI";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"HAMELLE";"Hélène";"1979-12-14";"F";"23";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"KONE";"Ibrahima";"1982-12-20";"M";"21";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"PITON SAINT-MARTIN";"Julie";"1999-07-01";"F";"37";"DVC";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"M'HADJOU";"Rakib";"2001-08-07";"M";"52";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"TANSINI";"Lauréline";"1989-04-24";"F";"37";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"KNOWLES";"Xavier";"1956-02-04";"M";"33";"ECO";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"BOUKIOUDI";"Ghizlane";"1992-06-15";"F";"31";"DVD";39;"75";"75056";"75056SR17";;"LUD";;"élu T2"
"ZIADY";"Karim";"1989-05-09";"M";"34";"SOC";39;"75";"75056";"75056SR17";"OUI";"LUG";;"élu T2"
"NAUD";"Estelle";"1995-12-26";"F";"33";"SOC";39;"75";"75056";"75056SR17";;"LUG";;"élu T2"
"PLUQUIN";"Pierre";"1964-04-21";"M";"37";"COM";39;"75";"75056";"75056SR17";;"LUG";;"élu T2"
"OUVRET";"Jeanne";"2002-05-16";"F";"54";"VEC";39;"75";"75056";"75056SR17";;"LUG";;"élu T2"
"RODRIGUES";"Anthony";"1997-11-26";"M";"38";"VEC";39;"75";"75056";"75056SR17";;"LUG";;"élu T2"
"PARDO";"Rachel-Flore";"1993-11-13";"F";"31";"REN";39;"75";"75056";"75056SR17";;"LUC";;"élu T2"
"MALLO";"Benjamin";"1977-03-23";"M";"37";"HOR";39;"75";"75056";"75056SR17";"OUI";"LUC";;"élu T2"
"LEJOINDRE";"Eric";"1980-05-17";"M";"33";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"BOUX";"Anne-Claire";"1987-03-07";"F";"38";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"BROSSAT";"Ian";"1980-04-23";"M";"34";"COM";44;"75";"75056";"75056SR18";;"LUG";"SEN";"élu T2"
"ROLLAND";"Carine";"1972-08-05";"F";"33";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"HAVET";"Kévin";"1989-06-15";"M";"33";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"ALIX";"Marion-Emi";"1989-10-19";"F";"31";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"YAFFA";"Mams";"1976-01-01";"M";"37";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"NEFOUCCI";"Touatia";"1965-12-26";"F";"43";"COM";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"DAVIAUD";"Jean-Philippe";"1965-09-25";"M";"86";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"SIRY-HOUARI";"Gabrielle";"1990-09-27";"F";"33";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"TURBIAK";"Guillaume";"1991-05-10";"M";"33";"PLP";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"FOURNIGUET";"Alexandra";"1989-09-17";"F";"37";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"ARNAUD";"Pierre-Yvain";"1981-08-21";"M";"42";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"AKKARI";"Maya";"1970-04-07";"F";"33";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"BADINA-SERPETTE";"Frédéric";"1979-12-20";"M";"37";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"LUSSOT";"Gwennina";"1979-12-05";"F";"33";"COM";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"GONZALEZ";"Mario";"1978-06-20";"M";"31";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"GUILLERME";"Elodie";"1982-05-06";"F";"33";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"COHEN";"Maxime";"1998-01-29";"M";"85";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"GOMES";"Barbara";"1987-05-14";"F";"34";"COM";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"MÉNÈDE";"Gilles";"1971-09-19";"M";"38";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"FONTAINE";"Stéphanie";"1965-10-15";"F";"22";"DVG";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"LELLOUCHE";"Ariel";"1958-11-22";"M";"77";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"COULIBALY";"Kadiatou";"1993-01-06";"F";"52";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"DUPONT";"Antoine";"1990-04-20";"M";"37";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"BENAKLI";"Nadia";"1971-02-26";"F";"37";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"SISSOKO";"Anzoumane";"1964-12-31";"M";"47";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"TEIXEIRA";"Oriane";"1999-04-01";"F";"37";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"RIBAUT";"Laurent";"1963-09-04";"M";"42";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"PULIDO";"Sylvie";"1961-07-12";"F";"74";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"TSAKAP";"Serge Dupont";"1973-12-08";"M";"35";"SOC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"BOITEL";"Maëva";"1990-07-21";"F";"37";"VEC";44;"75";"75056";"75056SR18";;"LUG";;"élu T2"
"OBONO";"Danièle";"1980-07-12";"F";"33";"FI";44;"75";"75056";"75056SR18";;"LFI";"DEP";"élu T2"
"MEUNIER";"Émile";"1985-04-18";"M";"31";"ECO";44;"75";"75056";"75056SR18";;"LFI";;"élu T2"
"LUQUET";"Manon";"1986-01-13";"F";"35";"FI";44;"75";"75056";"75056SR18";;"LFI";;"élu T2"
"BITAT";"Merwan";"2000-09-20";"M";"43";"FI";44;"75";"75056";"75056SR18";;"LFI";;"élu T2"
"IKUESAN";"Ayodele";"1985-05-15";"F";"46";"DVG";44;"75";"75056";"75056SR18";;"LFI";;"élu T2"
"GUERRIER";"Thierry";"1959-08-11";"M";"74";"LR";44;"75";"75056";"75056SR18";;"LUD";;"élu T2"
"MICHEL";"Angélique";"1971-10-07";"F";"37";"LR";44;"75";"75056";"75056SR18";;"LUD";;"élu T2"
"HAMI";"Ouahmed";"1991-03-22";"M";"22";"LR";44;"75";"75056";"75056SR18";;"LUD";;"élu T2"
"BETTINELLI";"Guendalina";"1998-10-08";"F";"37";"MDM";44;"75";"75056";"75056SR18";;"LUD";;"élu T2"
"EHLERS";"Eric";"1970-09-24";"M";"37";"LR";44;"75";"75056";"75056SR18";;"LUD";;"élu T2"
"BELAÏD";"Samir";"1986-03-11";"M";"37";"HOR";44;"75";"75056";"75056SR18";;"LUC";;"élu T2"
"PICAUT";"Corinne";"1963-05-11";"F";"37";"REN";44;"75";"75056";"75056SR18";;"LUC";;"élu T2"
"DAGNAUD";"François";"1962-01-04";"M";"86";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"JEMNI";"Halima";"1966-12-05";"F";"85";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"LERT";"Dan";"1975-02-04";"M";"33";"VEC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"KONÉ";"Fatoumata";"1981-06-20";"F";"37";"VEC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"AHOUDIAN";"Adji";"1979-09-10";"M";"31";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"AUSTIN";"Gwenaëlle";"1965-10-16";"F";"37";"COM";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"NORDMAN";"Nicolas";"1971-03-11";"M";"33";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"DEMBAK-DIJOUX";"Stéphanie";"1978-06-30";"F";"37";"VEC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"PILARTZ";"Andréas";"1967-10-29";"M";"21";"VEC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"BROSSEL";"Colombe";"1976-04-19";"F";"33";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";"SEN";"élu T2"
"PAVIE";"Yoann";"1997-05-31";"M";"37";"PLP";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"HILGROS";"Chloé";"1995-11-30";"F";"37";"VEC";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"BORTOT";"Hadrien";"1989-02-09";"M";"33";"COM";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"MERZI";"Yasmina";"1970-11-06";"F";"33";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"BENASSAYA";"Pierre";"1996-06-10";"M";"37";"VEC";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"LAOUISSET";"Héléna";"1997-08-13";"F";"37";"COM";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"BECHIEAU";"François";"1970-01-03";"M";"37";"ECO";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"TIMSIT";"Alice";"1993-08-25";"F";"34";"VEC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"BIESSY";"Arsène";"2007-11-09";"M";"84";"SOC";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"BOSSAVIE";"Cécile";"1975-01-10";"F";"33";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"KRIEF";"Gad";"1983-01-26";"M";"38";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"SUEUR SY";"Mélanie";"1985-10-29";"F";"31";"VEC";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"MERGEY";"Charles";"1982-08-29";"M";"37";"SOC";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"GUY";"Séverine";"1973-10-10";"F";"37";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"JASIENSKI";"Morgan";"1987-10-17";"M";"33";"VEC";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"FUCHS";"Andrea";"1969-12-12";"F";"34";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"MANTE";"Philippe";"1979-05-29";"M";"22";"VEC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"LE GOUVELLO";"Marie-Isabeau";"1977-01-04";"F";"52";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"GOLCZYK";"Xavier";"1977-05-21";"M";"38";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"SU";"Eva";"2004-06-30";"F";"84";"SOC";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"CHAOUAT";"Ayoub";"1983-09-11";"M";"38";"SOC";43;"75";"75056";"75056SR19";"OUI";"LUG";;"élu T2"
"SAUVE";"Michèle";"1951-08-17";"F";"72";"DVG";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"GAUFICHON";"Fabrice";"1969-06-30";"M";"37";"COM";43;"75";"75056";"75056SR19";;"LUG";;"élu T2"
"TIMSIT";"Roland";"1958-05-29";"M";"35";"FI";43;"75";"75056";"75056SR19";;"LFI";;"élu T2"
"MILAGRES";"Fanny";"1990-01-11";"F";"38";"FI";43;"75";"75056";"75056SR19";;"LFI";;"élu T2"
"BEWA";"Léo";"1999-08-14";"M";"34";"FI";43;"75";"75056";"75056SR19";;"LFI";;"élu T2"
"PITORRE";"Léa";"1999-03-26";"F";"85";"FI";43;"75";"75056";"75056SR19";;"LFI";;"élu T2"
"SARR";"Baïla";"1989-09-22";"M";"22";"ECO";43;"75";"75056";"75056SR19";;"LFI";;"élu T2"
"LISCIA";"Pierre";"1989-08-25";"M";"23";"LR";43;"75";"75056";"75056SR19";;"LUD";;"élu T2"
"PELOSSE";"Claire-Amélie";"1975-09-24";"F";"37";"LR";43;"75";"75056";"75056SR19";;"LUD";;"élu T2"
"HOURIEZ";"Jean-Baptiste";"1988-11-27";"M";"35";"MDM";43;"75";"75056";"75056SR19";;"LUD";;"élu T2"
"OUSDIDENE";"Katia";"1979-05-25";"F";"37";"PR";43;"75";"75056";"75056SR19";;"LUD";;"élu T2"
"MESSY";"Kevin";"1989-02-01";"M";"31";"DVD";43;"75";"75056";"75056SR19";;"LUD";;"élu T2"
"PLIEZ";"Eric";"1956-10-17";"M";"43";"PLP";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"EL AARAJE";"Lamia";"1986-11-22";"F";"34";"SOC";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"ALIBERT";"Antoine";"1989-06-10";"M";"37";"VEC";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"DUCHAUCHOI";"Karine";"1975-02-25";"F";"33";"COM";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"CHEVANDIER";"Thomas";"1985-03-15";"M";"31";"SOC";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"AKRAMI-CASTANON";"Azadeh";"1981-08-28";"F";"33";"VEC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"BLACTOT";"Brian";"1994-04-06";"M";"33";"COM";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"EKON";"Carine";"1987-12-02";"F";"37";"SOC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"SAUVAGE";"Maxime";"1988-12-06";"M";"37";"SOC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"METZNER";"Juliette";"1985-03-01";"F";"33";"VEC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"EPARA EPARA";"Epency";"1958-04-17";"M";"34";"SOC";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"JARDIN";"Alexandra";"1983-03-20";"F";"37";"SOC";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"BUSSY";"Martin";"1980-06-21";"M";"23";"SOC";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"HABOTT";"Maya";"1996-09-16";"F";"37";"DVG";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"GOULIN";"Vincent";"1973-03-13";"M";"33";"VEC";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"BAUDONNE";"Anne";"1966-03-19";"F";"42";"COM";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"SAMAKE";"Hamidou";"1956-12-06";"M";"38";"SOC";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
"AFANYAN POULHAZAN";"Cécile";"1990-04-30";"F";"37";"PLP";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"CASANOVA";"Alain";"1963-03-21";"M";"74";"VEC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"YAKOUB";"Saadia";"1952-12-23";"F";"33";"VEC";45;"75";"75056";"75056SR20";;"LUG";;"élu T2"
"ROGER";"Michel";"1960-01-19";"M";"74";"COM";45;"75";"75056";"75056SR20";"OUI";"LUG";;"élu T2"
