"Code département";"Libellé département";"Code secteur";"Libellé secteur";"Code BV";"Inscrits";"Votants";"% Votants";"Abstentions";"% Abstentions";"Exprimés";"% Exprimés/inscrits";"% Exprimés/votants";"Blancs";"% Blancs/inscrits";"% Blancs/votants";"Nuls";"% Nuls/inscrits";"% Nuls/votants";"Numéro de panneau 1";"Nom candidat 1";"Prénom candidat 1";"Sexe candidat 1";"Nuance liste 1";"Libellé abrégé de liste 1";"Libellé de liste 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Elu 1";"Sièges 1";"Numéro de panneau 2";"Nom candidat 2";"Prénom candidat 2";"Sexe candidat 2";"Nuance liste 2";"Libellé abrégé de liste 2";"Libellé de liste 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Elu 2";"Sièges 2";"Numéro de panneau 3";"Nom candidat 3";"Prénom candidat 3";"Sexe candidat 3";"Nuance liste 3";"Libellé abrégé de liste 3";"Libellé de liste 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Elu 3";"Sièges 3";"Numéro de panneau 4";"Nom candidat 4";"Prénom candidat 4";"Sexe candidat 4";"Nuance liste 4";"Libellé abrégé de liste 4";"Libellé de liste 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Elu 4";"Sièges 4"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0142";"1113";"417";"37,47%";"696";"62,53%";"412";"37,02%";"98,80%";"3";"0,27%";"0,72%";"2";"0,18%";"0,48%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"142";"12,76%";"34,47%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"225";"20,22%";"54,61%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"27";"2,43%";"6,55%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"18";"1,62%";"4,37%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0181";"1530";"851";"55,62%";"679";"44,38%";"841";"54,97%";"98,82%";"7";"0,46%";"0,82%";"3";"0,20%";"0,35%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"308";"20,13%";"36,62%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"429";"28,04%";"51,01%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"74";"4,84%";"8,80%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"30";"1,96%";"3,57%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0182";"985";"625";"63,45%";"360";"36,55%";"620";"62,94%";"99,20%";"4";"0,41%";"0,64%";"1";"0,10%";"0,16%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"215";"21,83%";"34,68%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"311";"31,57%";"50,16%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"80";"8,12%";"12,90%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"14";"1,42%";"2,26%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0183";"1368";"779";"56,94%";"589";"43,06%";"778";"56,87%";"99,87%";"0";"0,00%";"0,00%";"1";"0,07%";"0,13%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"262";"19,15%";"33,68%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"392";"28,65%";"50,39%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"99";"7,24%";"12,72%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"25";"1,83%";"3,21%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0184";"1550";"940";"60,65%";"610";"39,35%";"932";"60,13%";"99,15%";"3";"0,19%";"0,32%";"5";"0,32%";"0,53%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"286";"18,45%";"30,69%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"500";"32,26%";"53,65%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"107";"6,90%";"11,48%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"39";"2,52%";"4,18%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0186";"1600";"974";"60,88%";"626";"39,13%";"963";"60,19%";"98,87%";"7";"0,44%";"0,72%";"4";"0,25%";"0,41%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"257";"16,06%";"26,69%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"547";"34,19%";"56,80%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"127";"7,94%";"13,19%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"32";"2,00%";"3,32%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0187";"1571";"989";"62,95%";"582";"37,05%";"979";"62,32%";"98,99%";"8";"0,51%";"0,81%";"2";"0,13%";"0,20%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"265";"16,87%";"27,07%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"524";"33,35%";"53,52%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"152";"9,68%";"15,53%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"38";"2,42%";"3,88%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0188";"1677";"1006";"59,99%";"671";"40,01%";"1001";"59,69%";"99,50%";"2";"0,12%";"0,20%";"3";"0,18%";"0,30%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"212";"12,64%";"21,18%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"514";"30,65%";"51,35%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"198";"11,81%";"19,78%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"77";"4,59%";"7,69%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0701";"981";"615";"62,69%";"366";"37,31%";"609";"62,08%";"99,02%";"2";"0,20%";"0,33%";"4";"0,41%";"0,65%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"68";"6,93%";"11,17%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"284";"28,95%";"46,63%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"184";"18,76%";"30,21%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"73";"7,44%";"11,99%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0702";"866";"501";"57,85%";"365";"42,15%";"497";"57,39%";"99,20%";"3";"0,35%";"0,60%";"1";"0,12%";"0,20%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"65";"7,51%";"13,08%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"222";"25,64%";"44,67%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"156";"18,01%";"31,39%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"54";"6,24%";"10,87%";"";"1"
